No,year,month,day,hour,pm25,TEMP,PRES,cbwd
1,2010,1,1,0,98.61321455,-11,1021,NW
2,2010,1,1,1,98.61321455,-12,1020,NW
3,2010,1,1,2,98.61321455,-11,1019,NW
4,2010,1,1,3,98.61321455,-14,1019,NW
5,2010,1,1,4,98.61321455,-12,1018,NW
6,2010,1,1,5,98.61321455,-10,1017,NW
7,2010,1,1,6,98.61321455,-9,1017,NW
8,2010,1,1,7,98.61321455,-9,1017,NW
9,2010,1,1,8,98.61321455,-9,1017,NW
10,2010,1,1,9,98.61321455,-8,1017,NW
11,2010,1,1,10,98.61321455,-7,1017,NW
12,2010,1,1,11,98.61321455,-5,1017,NW
13,2010,1,1,12,98.61321455,-5,1015,NW
14,2010,1,1,13,98.61321455,-3,1015,NW
15,2010,1,1,14,98.61321455,-2,1014,NW
16,2010,1,1,15,98.61321455,-1,1014,cv
17,2010,1,1,16,98.61321455,-2,1015,NW
18,2010,1,1,17,98.61321455,-3,1015,NW
19,2010,1,1,18,98.61321455,-5,1016,NE
20,2010,1,1,19,98.61321455,-4,1017,NW
21,2010,1,1,20,98.61321455,-5,1017,cv
22,2010,1,1,21,98.61321455,-5,1018,NW
23,2010,1,1,22,98.61321455,-5,1018,NW
24,2010,1,1,23,98.61321455,-5,1020,cv
25,2010,1,2,0,129,-4,1020,SE
26,2010,1,2,1,148,-4,1020,SE
27,2010,1,2,2,159,-5,1021,SE
28,2010,1,2,3,181,-5,1022,SE
29,2010,1,2,4,138,-5,1022,SE
30,2010,1,2,5,109,-6,1022,SE
31,2010,1,2,6,105,-6,1023,SE
32,2010,1,2,7,124,-5,1024,SE
33,2010,1,2,8,120,-6,1024,SE
34,2010,1,2,9,132,-5,1025,SE
35,2010,1,2,10,140,-5,1026,SE
36,2010,1,2,11,152,-5,1026,SE
37,2010,1,2,12,148,-5,1026,SE
38,2010,1,2,13,164,-5,1025,SE
39,2010,1,2,14,158,-5,1025,SE
40,2010,1,2,15,154,-5,1025,SE
41,2010,1,2,16,159,-5,1026,SE
42,2010,1,2,17,164,-5,1027,SE
43,2010,1,2,18,170,-5,1027,SE
44,2010,1,2,19,149,-5,1028,SE
45,2010,1,2,20,154,-5,1028,SE
46,2010,1,2,21,164,-5,1027,SE
47,2010,1,2,22,156,-6,1028,SE
48,2010,1,2,23,126,-6,1027,SE
49,2010,1,3,0,90,-6,1027,SE
50,2010,1,3,1,63,-6,1026,SE
51,2010,1,3,2,65,-7,1026,SE
52,2010,1,3,3,55,-7,1025,SE
53,2010,1,3,4,65,-7,1024,SE
54,2010,1,3,5,83,-8,1024,SE
55,2010,1,3,6,91,-8,1024,SE
56,2010,1,3,7,86,-9,1024,SE
57,2010,1,3,8,82,-9,1024,SE
58,2010,1,3,9,86,-9,1023,SE
59,2010,1,3,10,78,-9,1023,SE
60,2010,1,3,11,98,-9,1022,SE
61,2010,1,3,12,107,-9,1021,SE
62,2010,1,3,13,90,-9,1020,SE
63,2010,1,3,14,96,-9,1020,SE
64,2010,1,3,15,95,-9,1020,SE
65,2010,1,3,16,86,-9,1020,SE
66,2010,1,3,17,70,-9,1020,SE
67,2010,1,3,18,61,-9,1021,cv
68,2010,1,3,19,53,-9,1022,cv
69,2010,1,3,20,71,-9,1022,NW
70,2010,1,3,21,72,-10,1023,NW
71,2010,1,3,22,76,-9,1023,NW
72,2010,1,3,23,73,-11,1023,NW
73,2010,1,4,0,79,-12,1023,NW
74,2010,1,4,1,58,-9,1023,NW
75,2010,1,4,2,25,-10,1024,NW
76,2010,1,4,3,26,-11,1024,NW
77,2010,1,4,4,28,-11,1025,NW
78,2010,1,4,5,26,-12,1026,NW
79,2010,1,4,6,20,-12,1027,NW
80,2010,1,4,7,29,-13,1027,NW
81,2010,1,4,8,26,-13,1028,NW
82,2010,1,4,9,27,-13,1029,NW
83,2010,1,4,10,27,-12,1030,NW
84,2010,1,4,11,25,-12,1031,NW
85,2010,1,4,12,29,-11,1030,NW
86,2010,1,4,13,32,-10,1030,NW
87,2010,1,4,14,28,-10,1030,NW
88,2010,1,4,15,29,-9,1030,NW
89,2010,1,4,16,30,-9,1031,NW
90,2010,1,4,17,30,-11,1032,NW
91,2010,1,4,18,28,-11,1032,NW
92,2010,1,4,19,26,-12,1033,NW
93,2010,1,4,20,31,-12,1034,NW
94,2010,1,4,21,33,-13,1034,NW
95,2010,1,4,22,29,-13,1035,NW
96,2010,1,4,23,31,-15,1035,NW
97,2010,1,5,0,30,-17,1035,NW
98,2010,1,5,1,34,-18,1035,NW
99,2010,1,5,2,27,-19,1035,NW
100,2010,1,5,3,25,-18,1035,NW
101,2010,1,5,4,28,-19,1035,NW
102,2010,1,5,5,28,-16,1034,NE
103,2010,1,5,6,27,-16,1035,NE
104,2010,1,5,7,27,-16,1034,NE
105,2010,1,5,8,27,-16,1035,NE
106,2010,1,5,9,29,-15,1035,NE
107,2010,1,5,10,36,-14,1035,NE
108,2010,1,5,11,30,-13,1035,NE
109,2010,1,5,12,27,-12,1034,NE
110,2010,1,5,13,39,-11,1032,NE
111,2010,1,5,14,41,-11,1032,cv
112,2010,1,5,15,33,-11,1031,NW
113,2010,1,5,16,50,-11,1031,NW
114,2010,1,5,17,56,-11,1031,NW
115,2010,1,5,18,59,-11,1032,NW
116,2010,1,5,19,60,-13,1033,NW
117,2010,1,5,20,84,-12,1033,NW
118,2010,1,5,21,106,-18,1033,NW
119,2010,1,5,22,66,-13,1034,NW
120,2010,1,5,23,50,-16,1033,NW
121,2010,1,6,0,56,-17,1033,NW
122,2010,1,6,1,77,-14,1033,NE
123,2010,1,6,2,50,-14,1034,NE
124,2010,1,6,3,44,-14,1033,NE
125,2010,1,6,4,27,-14,1033,NE
126,2010,1,6,5,28,-14,1033,NE
127,2010,1,6,6,21,-14,1033,NE
128,2010,1,6,7,25,-15,1034,NE
129,2010,1,6,8,20,-14,1034,NE
130,2010,1,6,9,29,-13,1035,NE
131,2010,1,6,10,34,-12,1035,NE
132,2010,1,6,11,42,-11,1035,NE
133,2010,1,6,12,28,-10,1034,NE
134,2010,1,6,13,36,-10,1033,NW
135,2010,1,6,14,48,-9,1033,NW
136,2010,1,6,15,49,-8,1033,cv
